SoldToID,ShipToID,FieldName,FieldValue
1000349,,drop_ship,N
1000350,,drop_ship,N
1000356,,drop_ship,N
1000357,,drop_ship,N
1000358,,drop_ship,N
1000359,,drop_ship,N
1000360,,drop_ship,N
1000367,,drop_ship,N
1000368,,drop_ship,N
1000369,,drop_ship,N
1000392,,drop_ship,Y
1000288,,drop_ship,N
1000289,,drop_ship,N
1000290,,drop_ship,N
1000315,,drop_ship,N
1000374,,drop_ship,N
1000375,,drop_ship,N
1000395,,drop_ship,N
1000396,,drop_ship,N
1000397,,drop_ship,N
1000398,,drop_ship,N
1000401,,drop_ship,N
1000404,,drop_ship,N
1000405,,drop_ship,N
1000406,,drop_ship,N
1000411,,drop_ship,N
1000414,,drop_ship,N
1000415,,drop_ship,N
1000281,,drop_ship,N
1000300,,drop_ship,N
1000301,,drop_ship,N
1000302,,drop_ship,N
1000303,,drop_ship,N
1000304,,drop_ship,N
1000305,,drop_ship,N
1000306,,drop_ship,N
1000307,,drop_ship,N
1000318,,drop_ship,N
1000342,,drop_ship,N
1000351,,drop_ship,N
1000352,,drop_ship,N
1000297,,drop_ship,N
1000317,,drop_ship,N
1000340,,drop_ship,N
1000341,,drop_ship,N
1000361,,drop_ship,N
1000362,,drop_ship,N
1000363,,drop_ship,N
1000371,,drop_ship,N
1000372,,drop_ship,N
1000373,,drop_ship,N
1000384,,drop_ship,N
1000387,,drop_ship,N
1000393,,drop_ship,N
1000409,,drop_ship,N
1000416,,drop_ship,N
1000417,,drop_ship,N
1000418,,drop_ship,N
1000419,,drop_ship,N
1000420,,drop_ship,N
1000291,,drop_ship,N
1000295,,drop_ship,N
1000313,,drop_ship,N
1000314,,drop_ship,N
1000321,,drop_ship,N
1000322,,drop_ship,N
1000327,,drop_ship,N
1000328,,drop_ship,N
1000329,,drop_ship,N
1000331,,drop_ship,N
1000336,,drop_ship,N
1000355,,drop_ship,N
1000365,,drop_ship,N
1000385,,drop_ship,N
1000386,,drop_ship,N
1000389,,drop_ship,N
1000403,,drop_ship,N
1000429,,drop_ship,N
1000430,,drop_ship,N
1000448,,drop_ship,N
1000460,,drop_ship,N
1000462,,drop_ship,N
1000467,,drop_ship,Y
1000470,,drop_ship,N
1000473,,drop_ship,N
1000474,,drop_ship,N
1000487,,drop_ship,N
1000488,,drop_ship,N
1000491,,drop_ship,N
1000514,,drop_ship,N
1000527,,drop_ship,N
1000539,,drop_ship,N
1000540,,drop_ship,N
1000551,,drop_ship,N
1000552,,drop_ship,N
1000555,,drop_ship,N
1000446,,drop_ship,N
1000465,,drop_ship,N
1000471,,drop_ship,N
1000472,,drop_ship,N
1000494,,drop_ship,N
1000495,,drop_ship,N
1000500,,drop_ship,N
1000513,,drop_ship,Y
1000537,,drop_ship,N
1000561,,drop_ship,N
1000563,,drop_ship,N
1000575,,drop_ship,N
1000581,,drop_ship,N
1000586,,drop_ship,N
1000588,,drop_ship,N
1000453,,drop_ship,N
1000454,,drop_ship,N
1000455,,drop_ship,N
1000463,,drop_ship,N
1000522,,drop_ship,N
1000523,,drop_ship,N
1000525,,drop_ship,N
1000543,,drop_ship,N
1000558,,drop_ship,N
1000564,,drop_ship,N
1000568,,drop_ship,N
1000569,,drop_ship,N
1000577,,drop_ship,N
1000578,,drop_ship,N
1000590,,drop_ship,N
1000598,,drop_ship,N
1000609,,drop_ship,N
1000610,,drop_ship,N
1000458,,drop_ship,N
1000459,,drop_ship,N
1000461,,drop_ship,N
1000468,,drop_ship,N
1000469,,drop_ship,N
1000486,,drop_ship,N
1000492,,drop_ship,N
1000524,,drop_ship,N
1000528,,drop_ship,N
1000556,,drop_ship,Y
1000557,,drop_ship,N
1000565,,drop_ship,N
1000566,,drop_ship,N
1000570,,drop_ship,N
1000573,,drop_ship,N
1000579,,drop_ship,N
1000580,,drop_ship,N
1000592,,drop_ship,N
1000439,,drop_ship,N
1000440,,drop_ship,N
1000451,,drop_ship,N
1000478,,drop_ship,N
1000502,,drop_ship,N
1000503,,drop_ship,N
1000530,,drop_ship,N
1000531,,drop_ship,N
1000535,,drop_ship,N
1000550,,drop_ship,N
1000585,,drop_ship,N
1000591,,drop_ship,N
1000593,,drop_ship,N
1000594,,drop_ship,N
1000596,,drop_ship,N
1000599,,drop_ship,N
1000606,,drop_ship,N
1000433,,drop_ship,N
1000444,,drop_ship,N
1000445,,drop_ship,N
1000447,,drop_ship,N
1000452,,drop_ship,N
1000476,,drop_ship,N
1000497,,drop_ship,N
1000498,,drop_ship,N
1000499,,drop_ship,N
1000532,,drop_ship,N
1000533,,drop_ship,N
1000541,,drop_ship,N
1000582,,drop_ship,N
1000583,,drop_ship,N
1000604,,drop_ship,N
1000605,,drop_ship,N
1000608,,drop_ship,N
1000432,,drop_ship,N
1000435,,drop_ship,N
1000436,,drop_ship,N
1000437,,drop_ship,N
1000438,,drop_ship,N
1000441,,drop_ship,N
1000443,,drop_ship,N
1000457,,drop_ship,N
1000477,,drop_ship,N
1000481,,drop_ship,N
1000489,,drop_ship,N
1000490,,drop_ship,N
1000510,,drop_ship,N
1000515,,drop_ship,N
1000516,,drop_ship,N
1000449,,drop_ship,N
1000450,,drop_ship,N
1000506,,drop_ship,N
1000507,,drop_ship,N
1000508,,drop_ship,N
1000509,,drop_ship,N
1000517,,drop_ship,N
1000518,,drop_ship,N
1000519,,drop_ship,N
1000520,,drop_ship,N
1000526,,drop_ship,N
1000542,,drop_ship,N
1000544,,drop_ship,N
1000545,,drop_ship,N
1000546,,drop_ship,N
1000547,,drop_ship,N
1000548,,drop_ship,N
1000559,,drop_ship,N
1000560,,drop_ship,N
1000614,,drop_ship,N
1000622,,drop_ship,N
1000641,,drop_ship,N
1000653,,drop_ship,N
1000704,,drop_ship,N
1000721,,drop_ship,N
1000722,,drop_ship,N
1000754,,drop_ship,N
1000755,,drop_ship,N
1000756,,drop_ship,N
1000757,,drop_ship,N
1000758,,drop_ship,N
1000760,,drop_ship,N
1000762,,drop_ship,N
1000763,,drop_ship,N
1000764,,drop_ship,N
1000765,,drop_ship,N
1000766,,drop_ship,N
1000767,,drop_ship,N
1000768,,drop_ship,N
1000616,,drop_ship,N
1000634,,drop_ship,N
1000636,,drop_ship,N
1000637,,drop_ship,N
1000639,,drop_ship,N
1000642,,drop_ship,N
1000643,,drop_ship,N
1000649,,drop_ship,N
1000650,,drop_ship,N
1000651,,drop_ship,N
1000661,,drop_ship,N
1000662,,drop_ship,N
1000663,,drop_ship,N
1000664,,drop_ship,N
1000670,,drop_ship,N
1000671,,drop_ship,N
1000672,,drop_ship,N
1000673,,drop_ship,N
1000613,,drop_ship,N
1000627,,drop_ship,N
1000628,,drop_ship,N
1000633,,drop_ship,N
1000648,,drop_ship,N
1000654,,drop_ship,N
1000655,,drop_ship,N
1000680,,drop_ship,N
1000681,,drop_ship,N
1000682,,drop_ship,N
1000687,,drop_ship,N
1000688,,drop_ship,N
1000692,,drop_ship,N
1000694,,drop_ship,N
1000695,,drop_ship,N
1000696,,drop_ship,N
1000697,,drop_ship,N
1000698,,drop_ship,N
1000700,,drop_ship,N
1000617,,drop_ship,N
1000619,,drop_ship,N
1000620,,drop_ship,N
1000626,,drop_ship,N
1000684,,drop_ship,N
1000690,,drop_ship,N
1000691,,drop_ship,N
1000701,,drop_ship,N
1000702,,drop_ship,N
1000707,,drop_ship,N
1000708,,drop_ship,N
1000712,,drop_ship,N
1000716,,drop_ship,N
1000717,,drop_ship,N
1000719,,drop_ship,N
1000724,,drop_ship,N
1000611,,drop_ship,N
1000612,,drop_ship,N
1000629,,drop_ship,N
1000630,,drop_ship,N
1000631,,drop_ship,N
1000644,,drop_ship,N
1000645,,drop_ship,N
1000665,,drop_ship,N
1000667,,drop_ship,N
1000668,,drop_ship,N
1000669,,drop_ship,N
1000675,,drop_ship,N
1000699,,drop_ship,N
1000713,,drop_ship,N
1000714,,drop_ship,N
1000725,,drop_ship,N
1000726,,drop_ship,N
1000727,,drop_ship,N
1000728,,drop_ship,N
1000729,,drop_ship,N
1000632,,drop_ship,N
1000646,,drop_ship,N
1000657,,drop_ship,N
1000685,,drop_ship,N
1000706,,drop_ship,N
1000731,,drop_ship,N
1000735,,drop_ship,N
1000736,,drop_ship,N
1000739,,drop_ship,N
1000741,,drop_ship,N
1000742,,drop_ship,N
1000743,,drop_ship,N
1000744,,drop_ship,N
1000745,,drop_ship,N
1000747,,drop_ship,N
1000748,,drop_ship,N
1000749,,drop_ship,N
1000750,,drop_ship,N
1000615,,drop_ship,N
1000623,,drop_ship,N
1000624,,drop_ship,N
1000625,,drop_ship,N
1000652,,drop_ship,N
1000659,,drop_ship,N
1000660,,drop_ship,N
1000676,,drop_ship,N
1000677,,drop_ship,N
1000678,,drop_ship,N
1000705,,drop_ship,N
1000709,,drop_ship,N
1000710,,drop_ship,N
1000711,,drop_ship,N
1000730,,drop_ship,N
1000732,,drop_ship,N
1000733,,drop_ship,N
1000734,,drop_ship,N
1000752,,drop_ship,N
1000753,,drop_ship,N
1000786,,drop_ship,N
1000798,,drop_ship,N
1000799,,drop_ship,N
1000808,,drop_ship,N
1000812,,drop_ship,N
1000821,,drop_ship,N
1000825,,drop_ship,N
1000826,,drop_ship,N
1000827,,drop_ship,N
1000828,,drop_ship,N
1000829,,drop_ship,N
1000833,,drop_ship,N
1000861,,drop_ship,N
1000863,,drop_ship,N
1000866,,drop_ship,N
1000875,,drop_ship,N
1000877,,drop_ship,N
1000878,,drop_ship,N
1000879,,drop_ship,N
1000893,,drop_ship,N
1000778,,drop_ship,N
1000779,,drop_ship,N
1000783,,drop_ship,N
1000785,,drop_ship,N
1000792,,drop_ship,N
1000851,,drop_ship,N
1000869,,drop_ship,N
1000871,,drop_ship,N
1000872,,drop_ship,N
1000876,,drop_ship,N
1000887,,drop_ship,N
1000902,,drop_ship,N
1000903,,drop_ship,N
1000934,,drop_ship,N
1000937,,drop_ship,N
1000939,,drop_ship,N
1000941,,drop_ship,N
1000776,,drop_ship,N
1000777,,drop_ship,N
1000780,,drop_ship,N
1000781,,drop_ship,N
1000795,,drop_ship,N
1000797,,drop_ship,N
1000801,,drop_ship,N
1000811,,drop_ship,N
1000822,,drop_ship,N
1000837,,drop_ship,N
1000844,,drop_ship,N
1000856,,drop_ship,Y
1000873,,drop_ship,N
1000889,,drop_ship,N
1000908,,drop_ship,N
1000793,,drop_ship,N
1000794,,drop_ship,N
1000803,,drop_ship,Y
1000814,,drop_ship,N
1000845,,drop_ship,N
1000846,,drop_ship,N
1000854,,drop_ship,N
1000882,,drop_ship,N
1000883,,drop_ship,N
1000892,,drop_ship,N
1000784,,drop_ship,N
1000787,,drop_ship,N
1000789,,drop_ship,N
1000834,,drop_ship,N
1000840,,drop_ship,N
1000853,,drop_ship,N
1000864,,drop_ship,N
1000900,,drop_ship,N
1000904,,drop_ship,N
1000907,,drop_ship,N
1000909,,drop_ship,N
1000913,,drop_ship,N
1000915,,drop_ship,N
1000919,,drop_ship,N
1000921,,drop_ship,N
1000922,,drop_ship,N
1000925,,drop_ship,N
1000927,,drop_ship,N
1000928,,drop_ship,N
1000769,,drop_ship,N
1000770,,drop_ship,N
1000771,,drop_ship,N
1000809,,drop_ship,N
1000810,,drop_ship,N
1000813,,drop_ship,N
1000830,,drop_ship,N
1000836,,drop_ship,N
1000841,,drop_ship,N
1000842,,drop_ship,N
1000843,,drop_ship,N
1000849,,drop_ship,N
1000867,,drop_ship,N
1000905,,drop_ship,N
1000906,,drop_ship,N
1000923,,drop_ship,N
1000924,,drop_ship,N
1000926,,drop_ship,N
1000772,,drop_ship,N
1000817,,drop_ship,N
1000818,,drop_ship,N
1000819,,drop_ship,N
1000820,,drop_ship,N
1000823,,drop_ship,N
1000838,,drop_ship,N
1000839,,drop_ship,N
1000857,,drop_ship,N
1000858,,drop_ship,N
1000859,,drop_ship,N
1000860,,drop_ship,N
1000870,,drop_ship,N
1000896,,drop_ship,N
1000897,,drop_ship,N
1000901,,drop_ship,N
1000910,,drop_ship,N
1000912,,drop_ship,N
1000914,,drop_ship,N
1000918,,drop_ship,N
1000929,,drop_ship,N
1000773,,drop_ship,N
1000782,,drop_ship,N
1000835,,drop_ship,N
1000850,,drop_ship,N
1000880,,drop_ship,N
1000881,,drop_ship,N
1000894,,drop_ship,N
1000895,,drop_ship,N
1000911,,drop_ship,N
1000917,,drop_ship,N
1000930,,drop_ship,N
1000931,,drop_ship,N
1000932,,drop_ship,N
1000933,,drop_ship,N
1000935,,drop_ship,N
1000936,,drop_ship,N
1000940,,drop_ship,N
1000942,,drop_ship,N
1000952,,drop_ship,N
1000953,,drop_ship,N
1000964,,drop_ship,N
1000965,,drop_ship,N
1000966,,drop_ship,N
1000967,,drop_ship,N
1000997,,drop_ship,N
1000998,,drop_ship,N
1000999,,drop_ship,N
1001000,,drop_ship,N
1001027,,drop_ship,N
1001039,,drop_ship,N
1001042,,drop_ship,N
1000947,,drop_ship,N
1000951,,drop_ship,N
1000980,,drop_ship,N
1001001,,drop_ship,N
1001008,,drop_ship,N
1001029,,drop_ship,N
1001040,,drop_ship,N
1000943,,drop_ship,N
1000945,,drop_ship,N
1000949,,drop_ship,N
1000950,,drop_ship,N
1000956,,drop_ship,N
1000961,,drop_ship,N
1000962,,drop_ship,N
1000968,,drop_ship,N
1000969,,drop_ship,N
1000972,,drop_ship,N
1000973,,drop_ship,N
1000974,,drop_ship,N
1000985,,drop_ship,N
1001009,,drop_ship,N
1001020,,drop_ship,N
1001021,,drop_ship,N
1001035,,drop_ship,N
1001036,,drop_ship,N
1001037,,drop_ship,N
1001043,,drop_ship,N
1000944,,drop_ship,N
1000948,,drop_ship,N
1000975,,drop_ship,N
1000979,,drop_ship,N
1000989,,drop_ship,N
1001005,,drop_ship,N
1001006,,drop_ship,N
1001015,,drop_ship,N
1001028,,drop_ship,N
1001031,,drop_ship,N
1001032,,drop_ship,N
1001033,,drop_ship,N
1001041,,drop_ship,N
1000955,,drop_ship,N
1000963,,drop_ship,N
1000976,,drop_ship,N
1000986,,drop_ship,N
1000988,,drop_ship,N
1000990,,drop_ship,N
1000991,,drop_ship,N
1000995,,drop_ship,N
1000996,,drop_ship,N
1001007,,drop_ship,N
1001010,,drop_ship,N
1001012,,drop_ship,N
1001030,,drop_ship,N
1001034,,drop_ship,N
1000970,,drop_ship,N
1000971,,drop_ship,N
1001017,,drop_ship,N
1001018,,drop_ship,N
1001019,,drop_ship,N
1001024,,drop_ship,N
1001025,,drop_ship,N
1000954,,drop_ship,N
1000977,,drop_ship,N
1000978,,drop_ship,N
1000983,,drop_ship,N
1000984,,drop_ship,N
1000987,,drop_ship,N
1001022,,drop_ship,N
1001023,,drop_ship,N
1001049,,drop_ship,N
1001050,,drop_ship,N
1001051,,drop_ship,Y
1001052,,drop_ship,N
1001053,,drop_ship,N
1001054,,drop_ship,N
1001055,,drop_ship,N
1001056,,drop_ship,N
1001061,,drop_ship,N
1001064,,drop_ship,N
1001065,,drop_ship,N
1001066,,drop_ship,N
1001067,,drop_ship,N
1001068,,drop_ship,N
1001071,,drop_ship,N
1001075,,drop_ship,N
1001077,,drop_ship,N
1001078,,drop_ship,N
1001083,,drop_ship,N
1001084,,drop_ship,N
1001085,,drop_ship,N
1001086,,drop_ship,N
1001044,,drop_ship,N
1001045,,drop_ship,N
1001046,,drop_ship,N
1001047,,drop_ship,N
1001048,,drop_ship,N
1001058,,drop_ship,N
1001060,,drop_ship,N
1001062,,drop_ship,N
1001069,,drop_ship,N
1001070,,drop_ship,N
1001072,,drop_ship,N
1001073,,drop_ship,N
1001074,,drop_ship,N
1001076,,drop_ship,N
1001079,,drop_ship,N
1001080,,drop_ship,N
1001081,,drop_ship,N
1001082,,drop_ship,N
1001088,,drop_ship,Y
1001101,,drop_ship,N
1001126,,drop_ship,N
1001131,,drop_ship,N
1001147,,drop_ship,N
1001155,,drop_ship,N
1001168,,drop_ship,N
1001184,,drop_ship,N
1001186,,drop_ship,N
1001205,,drop_ship,N
1001206,,drop_ship,N
1001208,,drop_ship,N
1001211,,drop_ship,N
1001216,,drop_ship,N
1001217,,drop_ship,N
1001218,,drop_ship,N
1001221,,drop_ship,N
1001230,,drop_ship,N
1001232,,drop_ship,N
1001094,,drop_ship,N
1001095,,drop_ship,N
1001107,,drop_ship,N
1001108,,drop_ship,N
1001109,,drop_ship,N
1001110,,drop_ship,N
1001111,,drop_ship,N
1001127,,drop_ship,N
1001128,,drop_ship,N
1001138,,drop_ship,N
1001140,,drop_ship,N
1001157,,drop_ship,N
1001189,,drop_ship,N
1001193,,drop_ship,N
1001199,,drop_ship,N
1001200,,drop_ship,N
1001202,,drop_ship,N
1001203,,drop_ship,N
1001210,,drop_ship,N
1001212,,drop_ship,N
1001136,,drop_ship,N
1001141,,drop_ship,N
1001144,,drop_ship,N
1001145,,drop_ship,N
1001148,,drop_ship,N
1001150,,drop_ship,N
1001151,,drop_ship,N
1001161,,drop_ship,N
1001169,,drop_ship,N
1001195,,drop_ship,N
1001213,,drop_ship,N
1001214,,drop_ship,N
1001215,,drop_ship,N
1001226,,drop_ship,N
1001233,,drop_ship,N
1001234,,drop_ship,N
1001235,,drop_ship,N
1001241,,drop_ship,N
1001244,,drop_ship,N
1001098,,drop_ship,N
1001099,,drop_ship,N
1001102,,drop_ship,N
1001103,,drop_ship,N
1001134,,drop_ship,N
1001164,,drop_ship,N
1001166,,drop_ship,N
1001190,,drop_ship,N
1001196,,drop_ship,N
1001207,,drop_ship,N
1001225,,drop_ship,N
1001227,,drop_ship,N
1001238,,drop_ship,N
1001239,,drop_ship,N
1001240,,drop_ship,N
1001245,,drop_ship,N
1001247,,drop_ship,N
1001089,,drop_ship,N
1001090,,drop_ship,N
1001091,,drop_ship,N
1001092,,drop_ship,N
1001160,,drop_ship,N
1001173,,drop_ship,N
1001174,,drop_ship,N
1001191,,drop_ship,N
1001228,,drop_ship,N
1001236,,drop_ship,N
1001237,,drop_ship,N
1001246,,drop_ship,N
1001248,,drop_ship,N
1001252,,drop_ship,N
1001255,,drop_ship,N
1001259,,drop_ship,N
1001093,,drop_ship,N
1001104,,drop_ship,N
1001113,,drop_ship,N
1001114,,drop_ship,N
1001115,,drop_ship,N
1001149,,drop_ship,N
1001162,,drop_ship,N
1001170,,drop_ship,N
1001177,,drop_ship,N
1001183,,drop_ship,N
1001185,,drop_ship,N
1001204,,drop_ship,N
1001209,,drop_ship,N
1001219,,drop_ship,N
1001220,,drop_ship,N
1001223,,drop_ship,N
1001242,,drop_ship,N
1001243,,drop_ship,N
1001250,,drop_ship,N
1001251,,drop_ship,N
1001253,,drop_ship,N
1001087,,drop_ship,N
1001112,,drop_ship,N
1001118,,drop_ship,N
1001119,,drop_ship,N
1001121,,drop_ship,N
1001139,,drop_ship,N
1001142,,drop_ship,N
1001143,,drop_ship,N
1001146,,drop_ship,N
1001153,,drop_ship,N
1001156,,drop_ship,N
1001159,,drop_ship,N
1001163,,drop_ship,N
1001167,,drop_ship,N
1001171,,drop_ship,N
1001172,,drop_ship,N
1001175,,drop_ship,N
1001179,,drop_ship,N
1001181,,drop_ship,N
1001182,,drop_ship,N
1001096,,drop_ship,N
1001097,,drop_ship,N
1001105,,drop_ship,N
1001106,,drop_ship,N
1001117,,drop_ship,N
1001120,,drop_ship,N
1001122,,drop_ship,N
1001123,,drop_ship,N
1001124,,drop_ship,N
1001130,,drop_ship,N
1001132,,drop_ship,N
1001133,,drop_ship,N
1001137,,drop_ship,N
1001165,,drop_ship,N
1001187,,drop_ship,N
1001188,,drop_ship,N
1001192,,drop_ship,N
1001194,,drop_ship,N
1001197,,drop_ship,N
1001198,,drop_ship,N
1001201,,drop_ship,N
1001272,,drop_ship,N
1001277,,drop_ship,N
1001280,,drop_ship,N
1001293,,drop_ship,N
1001295,,drop_ship,N
1001321,,drop_ship,N
1001323,,drop_ship,N
1001327,,drop_ship,N
1001374,,drop_ship,N
1001397,,drop_ship,N
1001398,,drop_ship,N
1001399,,drop_ship,N
1001400,,drop_ship,N
1001401,,drop_ship,N
1001402,,drop_ship,N
1001403,,drop_ship,N
1001404,,drop_ship,N
1001405,,drop_ship,N
1001406,,drop_ship,N
1001407,,drop_ship,N
1001408,,drop_ship,N
1001409,,drop_ship,N
1001262,,drop_ship,N
1001306,,drop_ship,N
1001319,,drop_ship,N
1001320,,drop_ship,N
1001324,,drop_ship,N
1001325,,drop_ship,N
1001326,,drop_ship,N
1001329,,drop_ship,N
1001330,,drop_ship,N
1001332,,drop_ship,N
1001335,,drop_ship,N
1001338,,drop_ship,N
1001339,,drop_ship,N
1001341,,drop_ship,N
1001342,,drop_ship,N
1001343,,drop_ship,N
1001346,,drop_ship,N
1001348,,drop_ship,N
1001349,,drop_ship,N
1001260,,drop_ship,N
1001263,,drop_ship,N
1001264,,drop_ship,N
